Rank,Name,ADP_Min,ADP_Max,Games,TOTAL,AST,FT,PTS,Threes,STL,BLK,FG,REB,TO,PG,SG,SF,PF,C
49,kyle lowry,63.6,68.1,72,0.2,1.8,0.8,0.2,1.1,0.8,-0.7,-0.8,-0.2,-1.2,Yes,No,No,No,No
49,mike conley,86.6,99,68,0.2,1.3,0.6,0.3,1.1,1.1,-0.8,-0.8,-0.8,-0.2,Yes,No,No,No,No
50,demar derozan,46.9,56.3,76,0.2,0.8,2,1,-1.3,0.2,-0.8,0.7,-0.4,-0.5,No,Yes,Yes,No,No
51,bogdan bogdanovic,86.3,104.3,68,0.2,0.1,0.3,0.3,1.6,0.6,-0.7,-0.3,-0.7,0.4,No,Yes,Yes,No,No
52,jakob poeltl,73.7,88.1,77,0.2,-0.5,-1.8,-0.9,-1.7,-0.3,2.6,1.9,1.6,0.6,No,No,No,No,Yes
53,draymond green,60.2,61.2,73,0.2,2.4,-0.1,-1.3,-1,2.3,0.3,-0.3,0.7,-1.5,No,No,No,Yes,Yes
53,mitchell robinson,85.5,123.8,69,0.2,-1.2,-1.5,-1,-1.5,0.2,2.1,2.3,1,1.1,No,No,No,No,Yes
54,terry rozier,61.2,65.9,77,0.2,0.5,0.4,0.8,1.5,0.9,-0.6,-1.2,-0.5,-0.3,Yes,Yes,No,No,No
55,chris boucher,69.5,91.3,72,0.2,-1.1,-0.1,-0.4,-0.1,-1.2,2.2,0.4,0.5,1.2,No,No,No,Yes,Yes
55,malcolm brogdon,57.2,75,71,0.2,1.3,0.8,0.9,0.8,-0.1,-0.8,-0.8,-0.1,-0.6,Yes,Yes,No,No,No
56,jonathan isaac,85.7,117.3,56,0.2,-0.7,-0.1,-0.5,-0.5,1,1.7,-0.2,0.1,0.6,No,No,Yes,Yes,No
57,kemba walker,79.6,86,67,0.1,0.7,0.9,0.6,1.1,0.3,-0.5,-1.2,-0.6,-0.2,Yes,No,No,No,No
58,isaiah stewart,75.2,95.2,75,0.1,-1,-0.5,-0.6,-1.2,-0.6,2,1.1,1.2,0.7,No,No,No,Yes,Yes
58,jerami grant,66.1,76.9,74,0.1,-0.3,0.8,1,0.6,-0.8,1,-0.7,-0.4,-0.1,No,No,Yes,Yes,No
